Ticker,mean,std,Annual_Return,Annual_Volatility,Sharpe_Ratio,Last_Close,Portfolio_Weight,Weighted_Return,Weighted_Volatility
ANET,0.002359047859531361,0.027854435245092013,0.810820319823726,0.4421754514119956,1.8337072246650952,150.86000061035156,0.08317914073073177,0.06744333748995465,0.03677977410067323
AVGO,0.0022721850372419577,0.025855132835351718,0.7717027630556454,0.4104375095812857,1.880195510987556,363.9200134277344,0.0852879046917031,0.06581691170581383,0.03500535519906867
CEG,0.0027550255746933818,0.031127562282414433,1.000329339649606,0.4941347323136561,2.02440604603086,324.70001220703125,0.09182946608595015,0.0918597091701344,0.04537612864288694
GE,0.0020200121685819486,0.02027435501877707,0.662844385412716,0.3218454082315104,2.059511704873905,281.57000732421875,0.093421900525905,0.061924182238181386,0.030067409712523453
GEV,0.00495761625649198,0.0340958690452748,2.4772184254496343,0.5412551413705343,4.576803500059081,640.9299926757812,0.20760925043410317,0.5142934604691478,0.11236957419354117
HWM,0.0020980291193168805,0.021413316680551693,0.6957913331239489,0.33992586409086545,2.046891415529232,183.3950042724609,0.09284942919059963,0.06460382811632502,0.031561922447958204
NVDA,0.002681373560411522,0.03299331904352259,0.9636438277976811,0.5237527026946333,1.8398832556660243,177.6750030517578,0.08345929284273397,0.08042503242025978,0.04371203019136478
PLTR,0.0033144797625093048,0.04535900563946352,1.3022058842036235,0.7200518918351806,1.808488942213206,167.41000366210938,0.08203520944397133,0.10682673244981612,0.059069607757226826
TRGP,0.0022490027723615267,0.022520802012999892,0.7614059808097868,0.35750664871272325,2.129767330345846,162.34500122070312,0.09660877925968075,0.07355850232705341,0.03453828090935571
VST,0.0024772872201563336,0.029539341914575003,0.8654538938704286,0.4689225155908322,1.8456223898312398,209.52999877929688,0.08371962679462108,0.07245547700278389,0.03925801800085936
